Datetime,Close,High,Low,Open,Volume,Week,Day,Hour,ROC_Close,EMROC_Close,ROC_Volume,EMROC_Volume,Close_denoised,score,APE,SIGN,Result,TP,TN,FP,FN
2024-11-29 05:00:00-05:00,6032.5,6035.25,6030.25,6032.75,6327.0,48,4,5,0.0001657962364254,8.338437807095906e-05,-0.2563469675599436,0.3357672372505242,6032.875000000001,"[0.006490723283470766, -0.08202201766388854, -0.18959639254431485]","[0.006490723283470766, 0.08202201766388854, 0.18959639254431485]","[1, -1, -1]","[6033.6416, 6034.1953, 6033.668]","[1, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
2024-11-29 06:00:00-05:00,6033.25,6034.0,6029.25,6032.25,5940.0,48,4,6,4.143875352236037e-05,8.223518287784676e-05,-0.1779684472737337,0.3216922869895857,6032.875000000001,"[-0.08079103951569433, -0.204636646913529, -0.09810175469882113]","[0.08079103951569433, 0.204636646913529, 0.09810175469882113]","[-1, -1, -1]","[6034.121, 6034.5737, 6034.0137]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]"
2024-11-29 07:00:00-05:00,6029.25,6033.75,6026.5,6033.0,9110.0,48,4,7,-0.0005387484459179,6.522193277385243e-05,0.4398609135451241,0.3249297836075456,6025.750000000001,"[0.07744717505915563, 0.01758366545844236, -0.10640961766338498]","[0.07744717505915563, 0.01758366545844236, 0.10640961766338498]","[1, 1, -1]","[6026.914, 6027.04, 6027.5293]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[0, 0, 1]"
2024-11-29 08:00:00-05:00,6022.25,6029.75,6018.75,6029.25,21284.0,48,4,8,-0.0018232296026188,1.348353454391604e-05,2.583164983164983,0.3867992411296672,6025.750000000001,"[0.012253809243382886, 0.0899581094266578, 0.17098008988294616]","[0.012253809243382886, 0.0899581094266578, 0.17098008988294616]","[1, 1, 1]","[6027.3613, 6028.522, 6029.473]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-29 09:00:00-05:00,6028.1,6034.65,6024.75,6033.7,25045.2,48,4,9,-0.0001907368246464,7.88845620993392e-06,1.749198682766191,0.424125253229298,6031.025000000001,"[0.03210674081654336, 0.1385374153531604, 0.22949739688866602]","[0.03210674081654336, 0.1385374153531604, 0.22949739688866602]","[1, 1, 1]","[6032.0127, 6031.4326, 6031.7754]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-29 10:00:00-05:00,6033.95,6039.55,6030.75,6038.15,28806.4,48,4,10,0.0019427954668105,6.089960718529276e-05,0.3534298064273633,0.4221883916730807,6031.025000000001,"[-0.12431696569009208, -0.20762604103776494, -0.3135360292902586]","[0.12431696569009208, 0.20762604103776494, 0.3135360292902586]","[-1, -1, -1]","[6032.2915, 6033.0977, 6032.5264]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-29 11:00:00-05:00,6039.8,6044.45,6036.75,6042.6,32567.6,48,4,11,0.0019409100711667,0.0001124067431847,0.3003529618449843,0.418850434691489,6042.725,"[0.04811375224334251, 0.17744825663058747, 0.15571513751331287]","[0.04811375224334251, 0.17744825663058747, 0.15571513751331287]","[1, 1, 1]","[6042.741, 6040.7617, 6041.964]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2024-11-29 12:00:00-05:00,6045.65,6049.35,6042.75,6047.05,36328.8,48,4,12,0.0019390283313582,0.000162451170258,0.2611364141301933,0.4145295026213165,6042.725,"[-0.15366154052714204, -0.14200605111373504, -0.1696706834578001]","[0.15366154052714204, 0.14200605111373504, 0.1696706834578001]","[-1, -1, -1]","[6042.201, 6042.7935, 6041.0063]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]"
2024-11-29 13:00:00-05:00,6051.5,6054.25,6048.75,6051.5,40090.0,48,4,13,0.0019371502367628,0.000211073062491,0.2309780272417987,0.4095006950766722,6051.443396226416,"[-0.0351469753151827, -0.006041294373157059, -0.011656364296655465]","[0.0351469753151827, 0.006041294373157059, 0.011656364296655465]","[-1, -1, -1]","[6053.5137, 6051.639, 6051.8657]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]"
2024-11-29 14:00:00-05:00,6051.38679245283,6054.254716981132,6048.66037735849,6051.5,39536.54716981132,48,4,14,0.0009489124333745,0.0002312878397755,0.0882976363053917,0.4007006112747194,6051.443396226416,"[-0.039608608286492, -0.02768989808598014, -0.020684986888284792]","[0.039608608286492, 0.02768989808598014, 0.020684986888284792]","[-1, -1, -1]","[6053.6704, 6052.836, 6052.299]","[0, 0, 0]","[0, 0, 0]","[1, 1, 1]","[0, 0, 0]"
